year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1888,0,0
1889,0,0
1890,0,0
1891,1,50
1892,8,58
1893,12,66
1894,10,59
1895,9,71
1896,19,56
1897,19,40
1898,15,18
1899,8,11
1900,9,21
1901,28,13
1902,17,28
1903,34,39
1904,30,36
1905,23,46
1906,14,35
1907,21,40
1908,12,31
1909,16,32
1910,11,43
1911,4,49
1912,9,52
1913,10,33
1914,4,34
1915,2,28
1916,0,17
1917,0,15
1918,5,35
1919,0,43
1920,0,29
1921,4,39
1922,3,28
1923,0,22
1924,0,14
1925,0,11
1926,0,6
1927,0,10
1928,0,18
1929,0,17
1930,4,7
1931,2,3
