year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,0
1892,-0,0
1893,-0,0
1894,-0,0
1895,-0,0
1896,-0,0
1897,-0,0
1898,-0,0
1899,-0,0
1900,-0,0
1901,-0,0
1902,-0,0
1903,-0,0
1904,-0,400
1905,-0,0
1906,-0,0
1907,-0,0
1908,-0,685
1909,-0,0
1910,-0,464
1911,-0,2367
1912,-0,634
1913,-0,1462
1914,-0,0
1915,-0,0
1916,-0,0
1917,-0,937
1918,-0,0
1919,-0,0
1920,-0,0
1921,-0,0
1922,-3715,1931
1923,-1354,2799
1924,-1033,1048
1925,-1382,665
1926,-0,236
1927,-0,422
1928,-0,943
1929,-2359,1466
1930,-0,95
1931,-0,0
